rank,ticker,name,sector_type,price,overall,fundamental,valuation,banking,management,sentiment,grade,iv,upside,signal,roe,roce,roa,pe,pb,market_cap_cr,rsi,return_3m,status,elapsed
1,SUNPHARMA,Sun Pharmaceutical Industries ,PHARMA,1731.8,88,100,95,0,80,59,A,23665.85,1266.5,🟢 STRONG BUY — Significant discount to intrinsic value,16.9,18.92,0,38.011414,5.337451,415517.0,67.3,-3.4,done,12.0
2,EICHERMOT,Eicher Motors Limited,CYCLICAL,7929.0,84,92,95,0,75,64,A,63247.24,697.7,🟢 STRONG BUY — Significant discount to intrinsic value,24.1,26.14,0,40.590767,9.846559,217504.0,72.4,10.1,done,12.1
3,NESTLEIND,Nestlé India Limited,FMCG,1320.0,83,88,95,0,78,57,A,9544.97,623.1,🟢 STRONG BUY — Significant discount to intrinsic value,83.5,59.3,0,77.83019,57.401287,254537.0,58.2,3.9,done,13.9
4,MARICO,Marico Limited,FMCG,810.35,83,92,95,0,72,62,A,6497.41,701.8,🟢 STRONG BUY — Significant discount to intrinsic value,41.3,36.6,0,61.297276,25.924562,104965.0,79.7,10.4,done,14.2
5,HEROMOTOCO,Hero MotoCorp Limited,CYCLICAL,5511.0,83,92,95,0,77,55,A,91576.73,1561.7,🟢 STRONG BUY — Significant discount to intrinsic value,23.1,28.71,0,20.284895,5.2501016,110269.0,35.8,-8.4,done,12.1
6,LTIM,LTIMindtree Limited,IT,4501.0,82,90,95,0,81,42,A,373951.83,8208.2,🟢 STRONG BUY — Significant discount to intrinsic value,20.97,26.33,0,28.059347,5.632523,133427.0,9.9,-23.6,done,13.6
7,COALINDIA,Coal India Limited,CYCLICAL,430.95,82,78,95,0,79,72,B,1647.21,282.2,🟢 STRONG BUY — Significant discount to intrinsic value,38.9,24.37,0,8.896574,2.5190413,265583.0,51.4,15.7,done,11.9
8,HINDUNILVR,Hindustan Unilever Limited,FMCG,2358.6,81,85,95,0,82,48,A,20853.54,784.1,🟢 STRONG BUY — Significant discount to intrinsic value,20.7,23.38,0,54.647823,11.37316,554255.0,48.6,-2.7,done,14.1
9,DABUR,Dabur India Limited,FMCG,518.05,81,87,95,0,75,56,A,4555.34,779.3,🟢 STRONG BUY — Significant discount to intrinsic value,17.0,20.18,0,49.86044,8.389745,91886.0,62.6,0.2,done,14.1
10,ONGC,Oil and Natural Gas Corporatio,CYCLICAL,276.5,81,79,95,0,79,66,B,583.44,111.0,🟢 STRONG BUY — Significant discount to intrinsic value,10.6,10.85,0,9.143518,0.9450116,347845.0,67.0,14.3,done,11.8
11,BRITANNIA,Britannia Industries Limited,FMCG,6162.5,80,83,95,0,78,51,A,55163.56,795.1,🟢 STRONG BUY — Significant discount to intrinsic value,52.9,58.67,0,61.373367,39.758835,148435.0,67.0,4.8,done,11.4
12,CIPLA,Cipla Limited,PHARMA,1326.7,80,90,95,0,71,50,A,27415.19,1966.4,🟢 STRONG BUY — Significant discount to intrinsic value,17.8,21.52,0,23.58997,3.2554576,107168.0,50.0,-12.9,done,12.5
13,APOLLOHOSP,Apollo Hospitals Enterprise Li,PHARMA,7720.5,80,83,95,0,71,61,A,75229.32,874.4,🟢 STRONG BUY — Significant discount to intrinsic value,18.4,15.31,0,61.566986,12.2072315,111009.0,90.6,4.6,done,14.3
14,ADANIPORTS,Adani Ports and Special Econom,CYCLICAL,1555.4,80,79,95,0,73,68,B,27040.91,1638.5,🟢 STRONG BUY — Significant discount to intrinsic value,19.41,13.74,0,26.947332,5.009921,358358.0,47.2,3.3,done,11.9
15,WIPRO,Wipro Limited,IT,200.14,79,83,95,0,79,46,A,15019.42,7404.5,🟢 STRONG BUY — Significant discount to intrinsic value,15.2,18.42,0,15.858954,2.3377564,209671.0,9.5,-17.9,done,14.1
16,TECHM,Tech Mahindra Limited,IT,1345.4,79,84,95,0,73,50,A,23564.89,1651.5,🟢 STRONG BUY — Significant discount to intrinsic value,14.6,18.78,0,25.793713,4.3346586,119136.0,9.8,-11.5,done,13.0
17,INFY,Infosys Limited,IT,1275.5,78,86,85,0,77,48,A,1683.93,32.0,🟢 STRONG BUY — Significant discount to intrinsic value,32.68,36.24,0,18.265787,6.1600723,516028.0,8.4,-18.1,done,14.0
18,TCS,Tata Consultancy Services Limi,IT,2573.7,77,90,75,0,82,44,A,3233.38,25.6,🟢 BUY — Trading below intrinsic value,42.63,62.02,0,19.506594,8.2036295,931187.0,13.2,-17.1,done,15.9
19,DRREDDY,Dr. Reddy's Laboratories Limit,PHARMA,1300.2,76,78,95,0,65,58,B,67866.4,5119.7,🟢 STRONG BUY — Significant discount to intrinsic value,16.1,21.96,0,19.162859,2.9070988,108251.0,70.4,4.2,done,12.9
20,DIVISLAB,Divi's Laboratories Limited,PHARMA,6255.5,76,86,95,0,64,44,A,44441.46,610.4,🟢 STRONG BUY — Significant discount to intrinsic value,15.4,18.85,0,67.16234,10.767671,166064.0,60.1,-3.9,done,12.7
21,HCLTECH,HCL Technologies Limited,IT,1339.2,75,83,65,0,92,47,A,1575.41,17.6,🟢 BUY — Trading below intrinsic value,23.19,30.84,0,22.095364,4.9230566,362341.0,10.1,-16.6,done,13.3
22,ITC,ITC Limited,FMCG,323.5,75,77,95,0,62,61,B,7573.83,2241.2,🟢 STRONG BUY — Significant discount to intrinsic value,27.3,36.57,0,19.88322,5.704763,405321.0,57.9,-17.9,done,13.4
23,TATACONSUM,Tata Consumer Products Limited,FMCG,1178.0,75,74,95,0,69,55,B,8805.05,647.5,🟢 STRONG BUY — Significant discount to intrinsic value,7.01,7.92,0,79.166664,5.7345085,116570.0,60.2,-0.6,done,13.2
24,POWERGRID,Power Grid Corporation of Indi,UTILITY,304.8,75,69,95,0,66,70,B,10123.08,3221.2,🟢 STRONG BUY — Significant discount to intrinsic value,17.0,12.29,0,19.550993,2.861139,283482.0,70.5,12.1,done,12.3
25,BAJFINANCE,Bajaj Finance Limited,NBFC,1023.55,74,0,0,78,77,59,A,739.02,-27.8,🟢 EXCELLENT BANK,19.2,0,3.87,35.33138,6.16,636274.0,70.4,1.3,done,8.5
